emoji,label
😀,positive
😃,positive
😄,positive
😁,positive
😆,positive
😅,neutre
🤣,positive
😂,positive
🙂,positive
🙃,neutre
😉,positive
😊,positive
😇,positive
🥰,positive
😍,positive
🤩,positive
😘,positive
😗,positive
☺,positive
😚,positive
😙,positive
🥲,neutre
😋,positive
😛,positive
😜,positive
🤪,positive
😝,positive
🤑,positive
🤗,positive
🤭,positive
🤫,neutre
🤔,neutre
🤐,neutre
🤨,negative
😐,neutre
😑,negative
😶,negative
😶‍🌫️,neutre
😏,neutre
😒,negative
🙄,negative
😬,negative
😮‍💨,negative
🤥,negative
😌,positive
😔,negative
😪,negative
🤤,positive
😴,neutre
😷,neutre
🤒,negative
🤕,negative
🤢,negative
🤮,negative
🤧,negative
🥵,negative
🥶,negative
🥴,negative
😵,negative
😵‍💫,negative
🤯,negative
🤠,positive
🥳,positive
🥸,positive
😎,positive
🤓,neutre
🧐,neutre
😕,negative
😟,negative
🙁,negative
☹,negative
😮,neutre
😯,neutre
😲,neutre
😳,neutre
🥺,neutre
😦,negative
😧,negative
😨,negative
😰,negative
😥,negative
😢,negative
😭,negative
😱,negative
😖,negative
😣,negative
😞,negative
😓,negative
😩,negative
😫,negative
🥱,negative
😤,negative
😡,negative
😠,negative
🤬,negative
😈,neutre
👿,negative
💀,negative
☠,negative
💩,neutre
🤡,negative
👹,negative
👺,negative
👻,positive
👽,positive
👾,positive
🤖,neutre
😺,positive
😸,positive
😹,positive
😻,positive
😼,neutre
😽,positive
🙀,negative
😿,negative
😾,negative
🙈,neutre
🙉,neutre
🙊,neutre
💋,positive
💌,positive
💘,positive
💝,positive
💖,positive
💗,positive
💓,positive
💞,positive
💕,positive
💟,positive
❣,positive
💔,negative
❤️‍🔥,positive
❤️‍🩹,positive
❤,positive
🧡,positive
💛,positive
💚,positive
💙,positive
💜,positive
🤎,positive
🖤,positive
🤍,positive
💯,positive
💢,negative
💥,positive
💫,positive
💦,neutre
💨,neutre
🕳,neutre
💣,negative
💬,neutre
👁️‍🗨️,positive
🗨,neutre
🗯,negative
💭,neutre
💤,neutre
👋,neutre
🤚,neutre
🖐,neutre
✋,neutre
🖖,positive
👌,neutre
🤌,neutre
🤏,neutre
✌,positive
🤞,positive
🤟,positive
🤘,positive
🤙,positive
👈,neutre
👉,neutre
👆,neutre
🖕,negative
👇,neutre
☝,neutre
👍,positive
👎,negative
✊,positive
👊,positive
🤛,positive
🤜,positive
👏,positive
🙌,positive
👐,positive
🤲,neutre
🤝,positive
🙏,positive
✍,neutre
💅,positive
🤳,positive
💪,positive
🦾,neutre
🦿,neutre
🦵,neutre
🦶,neutre
👂,neutre
🦻,neutre
👃,neutre
🧠,neutre
🫀,positive
🫁,neutre
🦷,neutre
🦴,neutre
👀,neutre
👁,neutre
👅,neutre
👄,neutre
👶,positive
🧒,neutre
👦,positive
👧,positive
🧑,neutre
👱,neutre
👨,neutre
🧔,neutre
🧔‍♂️,neutre
🧔‍♀️,neutre
👨‍🦰,neutre
👨‍🦱,neutre
👨‍🦳,neutre
👨‍🦲,neutre
👩,neutre
👩‍🦰,neutre
🧑‍🦰,neutre
👩‍🦱,neutre
🧑‍🦱,neutre
👩‍🦳,neutre
🧑‍🦳,neutre
👩‍🦲,neutre
🧑‍🦲,neutre
👱‍♀️,neutre
👱‍♂️,neutre
🧓,neutre
👴,neutre
👵,neutre
🙍,negative
🙍‍♂️,negative
🙍‍♀️,negative
🙎,negative
🙎‍♂️,negative
🙎‍♀️,negative
🙅,negative
🙅‍♂️,negative
🙅‍♀️,negative
🙆,positive
🙆‍♂️,positive
🙆‍♀️,positive
💁,positive
💁‍♂️,neutre
💁‍♀️,positive
🙋,positive
🙋‍♂️,positive
🙋‍♀️,positive
🧏,neutre
🧏‍♂️,neutre
🧏‍♀️,neutre
🙇,neutre
🙇‍♂️,neutre
🙇‍♀️,neutre
🤦,negative
🤦‍♂️,negative
🤦‍♀️,negative
🤷,neutre
🤷‍♂️,neutre
🤷‍♀️,neutre
🧑‍⚕️,positive
👨‍⚕️,positive
👩‍⚕️,positive
🧑‍🎓,positive
👨‍🎓,positive
👩‍🎓,positive
🧑‍🏫,positive
👨‍🏫,positive
👩‍🏫,positive
🧑‍⚖️,neutre
👨‍⚖️,neutre
👩‍⚖️,neutre
🧑‍🌾,positive
👨‍🌾,positive
👩‍🌾,positive
🧑‍🍳,positive
👨‍🍳,positive
👩‍🍳,positive
🧑‍🔧,neutre
👨‍🔧,neutre
👩‍🔧,positive
🧑‍🏭,neutre
👨‍🏭,neutre
👩‍🏭,neutre
🧑‍💼,neutre
👨‍💼,neutre
👩‍💼,neutre
🧑‍🔬,positive
👨‍🔬,positive
👩‍🔬,positive
🧑‍💻,neutre
👨‍💻,neutre
👩‍💻,positive
🧑‍🎤,positive
👨‍🎤,positive
👩‍🎤,positive
🧑‍🎨,positive
👨‍🎨,positive
👩‍🎨,positive
🧑‍✈️,neutre
👨‍✈️,positive
👩‍✈️,positive
🧑‍🚀,positive
👨‍🚀,positive
👩‍🚀,positive
🧑‍🚒,positive
👨‍🚒,positive
👩‍🚒,positive
👮,neutre
👮‍♂️,neutre
👮‍♀️,neutre
🕵,neutre
🕵️‍♂️,neutre
🕵️‍♀️,neutre
💂,neutre
💂‍♂️,neutre
💂‍♀️,neutre
🥷,neutre
👷,neutre
👷‍♂️,neutre
👷‍♀️,neutre
🤴,positive
👸,positive
👳,neutre
👳‍♂️,neutre
👳‍♀️,neutre
👲,neutre
🧕,neutre
🤵,neutre
🤵‍♂️,neutre
🤵‍♀️,neutre
👰,positive
👰‍♂️,positive
👰‍♀️,positive
🤰,positive
🤱,positive
👩‍🍼,positive
👨‍🍼,positive
🧑‍🍼,positive
👼,positive
🎅,positive
🤶,positive
🧑‍🎄,positive
🦸,positive
🦸‍♂️,positive
🦸‍♀️,positive
🦹,negative
🦹‍♂️,negative
🦹‍♀️,negative
🧙,neutre
🧙‍♂️,neutre
🧙‍♀️,neutre
🧚,positive
🧚‍♂️,positive
🧚‍♀️,positive
🧛,neutre
🧛‍♂️,neutre
🧛‍♀️,neutre
🧜,neutre
🧜‍♂️,positive
🧜‍♀️,positive
🧝,neutre
🧝‍♂️,neutre
🧝‍♀️,neutre
🧞,positive
🧞‍♂️,positive
🧞‍♀️,neutre
🧟,negative
🧟‍♂️,negative
🧟‍♀️,neutre
💆,positive
💆‍♂️,positive
💆‍♀️,positive
💇,positive
💇‍♂️,positive
💇‍♀️,positive
🚶,positive
🚶‍♂️,neutre
🚶‍♀️,neutre
🧍,neutre
🧍‍♂️,neutre
🧍‍♀️,neutre
🧎,neutre
🧎‍♂️,neutre
🧎‍♀️,neutre
🧑‍🦯,neutre
👨‍🦯,neutre
👩‍🦯,neutre
🧑‍🦼,neutre
👨‍🦼,neutre
👩‍🦼,neutre
🧑‍🦽,neutre
👨‍🦽,neutre
👩‍🦽,neutre
🏃,positive
🏃‍♂️,positive
🏃‍♀️,positive
💃,positive
🕺,positive
🕴,neutre
👯,positive
👯‍♂️,positive
👯‍♀️,positive
🧖,positive
🧖‍♂️,positive
🧖‍♀️,positive
🧗,positive
🧗‍♂️,positive
🧗‍♀️,positive
🤺,neutre
🏇,positive
⛷,positive
🏂,positive
🏌,positive
🏌️‍♂️,neutre
🏌️‍♀️,neutre
🏄,positive
🏄‍♂️,positive
🏄‍♀️,positive
🚣,positive
🚣‍♂️,positive
🚣‍♀️,positive
🏊,positive
🏊‍♂️,positive
🏊‍♀️,positive
⛹,positive
⛹️‍♂️,positive
⛹️‍♀️,positive
🏋,positive
🏋️‍♂️,positive
🏋️‍♀️,positive
🚴,positive
🚴‍♂️,positive
🚴‍♀️,positive
🚵,positive
🚵‍♂️,positive
🚵‍♀️,positive
🤸,neutre
🤸‍♂️,positive
🤸‍♀️,positive
🤼,neutre
🤼‍♂️,neutre
🤼‍♀️,neutre
🤽,positive
🤽‍♂️,positive
🤽‍♀️,positive
🤾,positive
🤾‍♂️,positive
🤾‍♀️,positive
🤹,positive
🤹‍♂️,positive
🤹‍♀️,positive
🧘,positive
🧘‍♂️,positive
🧘‍♀️,positive
🛀,positive
🛌,positive
🧑‍🤝‍🧑,positive
👭,positive
👫,positive
👬,positive
💏,positive
👩‍❤️‍💋‍👨,positive
👨‍❤️‍💋‍👨,positive
👩‍❤️‍💋‍👩,positive
💑,positive
👩‍❤️‍👨,positive
👨‍❤️‍👨,positive
👩‍❤️‍👩,positive
👪,positive
👨‍👩‍👦,positive
👨‍👩‍👧,positive
👨‍👩‍👧‍👦,positive
👨‍👩‍👦‍👦,positive
👨‍👩‍👧‍👧,positive
👨‍👨‍👦,positive
👨‍👨‍👧,positive
👨‍👨‍👧‍👦,positive
👨‍👨‍👦‍👦,positive
👨‍👨‍👧‍👧,positive
👩‍👩‍👦,positive
👩‍👩‍👧,positive
👩‍👩‍👧‍👦,positive
👩‍👩‍👦‍👦,positive
👩‍👩‍👧‍👧,positive
👨‍👦,positive
👨‍👦‍👦,positive
👨‍👧,positive
👨‍👧‍👦,positive
👨‍👧‍👧,positive
👩‍👦,positive
👩‍👦‍👦,positive
👩‍👧,positive
👩‍👧‍👦,positive
👩‍👧‍👧,positive
🗣,neutre
👤,neutre
👥,neutre
🫂,positive
👣,neutre
🦰,neutre
🦱,neutre
🦳,neutre
🦲,neutre
🐵,neutre
🐒,negative
🦍,neutre
🦧,negative
🐶,positive
🐕,positive
🦮,positive
🐕‍🦺,positive
🐩,positive
🐺,neutre
🦊,positive
🦝,neutre
🐱,positive
🐈,positive
